,state,college,cases,college_size_category,distance_educ_offered,admissions_total,freshmen_enrollment,admissions_men,admissions_women,number_freshmen_submitting_sat,number_freshmen_submitting_act,sat_ebrw_25,sat_ebrw_75,sat_math_25,sat_math_75,act_comp_25,act_comp_75,act_english_25,act_english_75,act_math_25,act_math_75,football_conference,region,status_reopening,stay_at_home_order,large_gatherings,restaurant_limits,bar_closures,face_coverings,class_plan,total_enrollment,percent_infected,greater_than_5
70,California,Claremont McKenna College,0.0,2.0,0.0,625.0,328.0,291.0,334.0,185.0,173.0,670.0,730.0,690.0,780.0,31.0,34.0,32.0,35.0,29.0,34.0,Southern California Intercollegiate Athletic Conference,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Fully online,1327,0.0,0
72,California,Dominican University of California,8.0,2.0,1.0,1857.0,330.0,494.0,1363.0,265.0,84.0,520.0,610.0,510.0,610.0,20.0,25.0,19.0,24.0,19.0,25.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,1779,0.004496908375491849,0
75,California,Fresno Pacific University,13.0,2.0,1.0,637.0,177.0,220.0,417.0,167.0,45.0,470.0,580.0,460.0,570.0,16.0,24.0,15.0,22.0,16.0,23.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Fully online,4292,0.0030288909599254427,0
76,California,Fresno State University,48.0,5.0,1.0,10501.0,3334.0,4121.0,6380.0,3235.0,1002.0,470.0,570.0,470.0,560.0,16.0,22.0,15.0,22.0,16.0,22.0,Mountain West Conference,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,25137,0.0019095357441222102,0
77,California,Harvey Mudd College,5.0,1.0,0.0,553.0,224.0,260.0,293.0,165.0,98.0,710.0,770.0,780.0,800.0,33.0,35.0,35.0,36.0,34.0,36.0,Southern California Intercollegiate Athletic Conference,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Fully online,902,0.005543237250554324,0
78,California,Holy Names University,7.0,1.0,1.0,1544.0,162.0,475.0,1069.0,126.0,35.0,280.0,330.0,440.0,550.0,18.0,21.0,18.0,22.0,17.0,22.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Fully online,960,0.007291666666666667,0
79,California,Humboldt State University,31.0,3.0,1.0,13989.0,823.0,6347.0,7642.0,736.0,267.0,490.0,610.0,480.0,590.0,17.0,25.0,16.0,25.0,17.0,24.0,Great Northwest Athletic Conference,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,7972,0.0038886101354741595,0
80,California,Loyola Marymount University,34.0,3.0,1.0,8150.0,1467.0,3378.0,4772.0,1016.0,596.0,620.0,700.0,610.0,710.0,27.0,31.0,27.0,34.0,25.0,30.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,9838,0.0034559869892254523,0
82,California,Mills College,3.0,2.0,1.0,807.0,137.0,1.0,806.0,47.0,28.0,505.0,675.0,500.0,615.0,19.0,29.0,21.0,32.0,18.0,25.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Primarily online,1257,0.002386634844868735,0
84,California,Notre Dame de Namur University,0.0,2.0,1.0,1809.0,120.0,653.0,1156.0,95.0,36.0,450.0,550.0,440.0,530.0,17.0,20.0,15.0,20.0,16.0,19.0,Not applicable,West,New Restrictions Imposed,Statewide,All Gatherings Prohibited,Newly Closed to Dine-in Service,Closed,Required for General Public,Fully online,1492,0.0,0
