college,class_plan,total_enrollment
Covenant College,Primarily in person,1046
Cox College,Primarily online,919
Creighton University,Primarily in person,8910
Criswell College,Fully in person,236
Crossroads Bible College,Fully online,157
Crowley's Ridge College,Fully in person,198
Crown College,Hybrid,1510
Culinary Institute of America,Primarily in person,2990
Culver-Stockton College,Fully in person,1068
Cumberland University,Other,2405
Curry College,Primarily in person,2580
Curtis Institute of Music,Fully online,171
Cypress College,Fully online,15794
D'Youville College,Hybrid,3045
Daemen College,Primarily online,2574
Dakota State University,Fully in person,3382
Dakota Wesleyan University,Primarily in person,1024
Dallas Baptist University,Hybrid,4766
Dallas Christian College,Primarily in person,213
Dallas Nursing Institute,Undetermined,225
Dalton State College,Primarily in person,5118
Dartmouth College,Primarily online,6572
Davenport University,Hybrid,6746
Davidson College,Hybrid,1843
Davis & Elkins College,Primarily in person,793
Davis College,Primarily in person,241
Daytona State College,Primarily online,13737
Dean College,Fully online,1320
Defiance College,Hybrid,545
Delaware State University,Primarily online,4586
"Delaware Technical Community College, Terry Campus",Primarily online,13895
Delaware Valley University,Primarily in person,2428
Dell'Arte International School of Physical Theatre,Other,30
Delta State University,Primarily in person,3715
Denison University,Hybrid,2394
DePaul University,Fully online,22437
DePauw University,Primarily in person,2156
DeSales University,Hybrid,3438
Dickinson College,Fully online,2399
Dickinson State University,Hybrid,1392
Dillard University,Hybrid,1309
Dine College,Primarily online,1519
Divine Word College,Undetermined,57
Dixie State University,Primarily in person,9950
Doane University,Hybrid,1008
Doane University at Lincoln,Hybrid,1609
Dominican College of Blauvelt,Hybrid,1956
Dominican University,Hybrid,2990
Dominican University of California,Primarily online,1779
Donnelly College,Primarily in person,364
Dordt College,Fully in person,1564
Drake University,Primarily in person,4869
Drew University,Fully online,2263
Drexel University,Fully online,24634
Drury University,Fully in person,1730
Drury University-College of Continuing Professional Studies,Primarily in person,1542
Duke University,Hybrid,16606
Dunwoody College of Technology,Fully in person,1316
Duquesne University,Hybrid,9274
Earlham College and Earlham School of Religion,Primarily in person,1104
East Carolina University,Fully online,28718
East Central University (Oklahoma),Undetermined,3576
East Georgia State College,Primarily in person,2942
East Stroudsburg University of Pennsylvania,Primarily online,6412
East Tennessee State University,Primarily online,14317
East Texas Baptist University,Hybrid,1613
East-West University at Chicago,Primarily in person,394
East-West University at Keshena,Undetermined,11
Eastern Connecticut State University,Primarily in person,5208
Eastern Florida State College,Primarily online,15820
Eastern Illinois University,Primarily in person,7526
Eastern Kentucky University,Primarily in person,15815
Eastern Mennonite University,Primarily in person,1444
Eastern Michigan University,Primarily online,19123
Eastern Nazarene College,Hybrid,848
Eastern New Mexico University,Primarily online,6005
Eastern Oregon University,Primarily in person,2978
Eastern University,Primarily in person,3256
Eastern Washington University,Primarily online,12633
Ecclesia College,Primarily in person,218
Eckerd College,Primarily in person,2006
Edgewood College,Hybrid,2190
Edinboro University of Pennsylvania,Primarily online,4834
Edmonds Community College,Primarily online,8041
Edward Waters College,Primarily online,2906
Elizabeth City State University,Hybrid,1677
Elizabethtown College,Primarily in person,1687
Elmhurst CollegeDu,Hybrid,3426
Elmira College,Primarily in person,892
Elms College,Primarily online,1531
Elon University,Primarily in person,6991
Embry-Riddle Aeronautical University at Daytona Beach,Fully in person,6613
Embry-Riddle Aeronautical University at Prescott,Fully in person,2776
Embry-Riddle Aeronautical University-Extended Campus,Fully in person,14168
Emerson College,Hybrid,4573
Emmanuel College - MA,Other,2209
Emmanuel College - GA,Primarily in person,920
Emmaus Bible College,Hybrid,238
Emory & Henry College,Primarily online,1246
Emory University,Primarily online,14458
Emporia State University,Primarily in person,5796
Endicott College,Primarily in person,4794
Epic Bible College,Other,155
Erskine College,Primarily in person,693
Eureka College,Primarily in person,567
Evangel University,Primarily online,2098
Everglades University at Boca Raton,Hybrid,2262
Evergreen State College,Primarily online,3327
Fairfield University,Primarily in person,5273
Fairleigh Dickinson University,Primarily online,7871
Fairleigh Dickinson University College at Florham,Primarily online,3483
Fairmont State University,Hybrid,3947
Faith Baptist Bible College and Theological Seminary,Fully in person,353
Faith International University,Hybrid,196
Faith Theological Seminary,Undetermined,117
Family of Faith Christian University,Other,102
Fashion Institute of Technology,Primarily online,8767
Faulkner University,Primarily in person,3178
Fayetteville State University,Primarily online,6318
Feather River College,Primarily online,2216
Felician University,Hybrid,2004
Ferris State University,Primarily in person,13250
Ferrum College,Other,1124
Finlandia University,Primarily in person,456
Fisher College,Primarily in person,1662
Fisk University,Hybrid,780
Fitchburg State University,Primarily in person,7199
Flager College at St. Augustine,Hybrid,2608
Florida A&M University,Hybrid,10021
Florida Atlantic University,Primarily online,29772
Florida College,Primarily in person,508
Florida Gateway College,Hybrid,3385
Florida Gulf Coast University,Primarily in person,15031
Florida Institute of Technology,Primarily in person,6271
Florida International University,Primarily online,57942
Florida Keys Community College,Primarily online,862
Florida Memorial University,Hybrid,1189
Florida Polytechnic University,Primarily in person,1425
Florida Southern College,Fully online,3154
Florida SouthWestern State College,Hybrid,16556
Florida State College at Jacksonville,Primarily online,23413
Florida State University,Primarily online,41005
Fontbonne University,Primarily in person,1290
Foothill College,Primarily online,14732
Fordham University,Hybrid,16515
Fort Berthold Community College,Undetermined,198
Fort Hays State University,Hybrid,15523
Fort Lewis College,Primarily in person,3319
Fort Valley State University,Primarily in person,2776
Framingham State University,Primarily online,5565
Francis Marion University,Primarily in person,3940
Franciscan Missionaries of Our Lady University,Hybrid,1368
Franciscan University of Steubenville,Primarily in person,3028
Franklin & Marshall College,Hybrid,2309
Franklin College of Indiana,Primarily in person,982
Franklin Pierce University,Primarily in person,2178
Franklin University,Fully online,4970
Franklin W. Olin College of Engineering,Hybrid,390
Freed-Hardeman University,Fully in person,2037
Fresno Pacific University,Fully online,4292
Friends University,Primarily in person,1926
Frostburg State University,Primarily online,5295
Furman University,Hybrid,2947
Gallaudet University,Fully online,1557
Gannon University,Hybrid,4291
Gardner-Webb University,Primarily in person,3598
Geneva College,Primarily in person,1543
George Fox University,Primarily in person,3941
George Mason University,Hybrid,37316
George Washington University,Fully online,28172
Georgetown College,Primarily in person,1608
Georgetown University,Fully online,19204
Georgia College and State University,Primarily in person,6989
Georgia Gwinnett College,Hybrid,12508
Georgia Highlands College,Primarily in person,6184
Georgia Institute of Technology,Hybrid,32723
Georgia Military College,Primarily online,8812
Georgia Southern University,Primarily in person,26408
Georgia Southwestern State University,Primarily in person,2907
Georgia State University,Hybrid,34316
Georgian Court University,Primarily online,2458
Gettysburg College,Primarily online,2441
Glenville State College,Primarily in person,1586
God's Bible School and College,Primarily in person,266
Goddard College,Fully online,448
